pk,shortcode,url,type,format,carousel_count,datetime_utc,date,time,day_of_week,iso_week,month,caption_length,hashtag_count,likes,comments,views,interactions,engagement_per_view,caption
3569940081424649827,DGK-Zb2vs5j,https://www.instagram.com/reel/DGK-Zb2vs5j/,reel,video,,2025-02-17T11:00:41Z,2025-02-17,22:00,Monday,2025-W08,2025-02,0,0,94,4,6970,98,0.0141,
3571354504023020750,DGP___jSJTO,https://www.instagram.com/reel/DGP___jSJTO/,reel,video,,2025-02-19T09:50:54Z,2025-02-19,20:50,Wednesday,2025-W08,2025-02,0,0,61,15,4561,76,0.0167,
3572753744624502639,DGU-Jn6Skdv,https://www.instagram.com/reel/DGU-Jn6Skdv/,reel,video,,2025-02-21T08:10:56Z,2025-02-21,19:10,Friday,2025-W08,2025-02,0,0,102,12,7432,114,0.0153,
3573474053068699587,DGXh7fbPDfD,https://www.instagram.com/p/DGXh7fbPDfD/,post,image,,2025-02-22T08:02:04Z,2025-02-22,19:02,Saturday,2025-W08,2025-02,721,12,54,0,,54,,"SUNS OUT SCREAM SHOUT ☀️🌴   hey MoMUians!! we are so excited to be seeing ur lovely faces during o-week at our annual summerfest booth 🥰🤍 it’s happening for 3 days starting from 26th Feb so make sure you pay us a visit and bring ur friends along as well!! 🚨 FRESHIES this is also the PERFECT opportunity to get to know more about MoMU - what we do, our events, how to become a member 💪 etc. SO DON’T MISS OUT‼️ SEE U GUYS THERE 🤩💫  Dates and Venues: 🕰️ 11am - 3pm for all days  🟠26th Feb, Wed - 1888 Lawn  🟡27th Feb, Thurs - 1888 Lawn 🟢28th Feb, Fri - Market Hall (Building 189)  #momuians #melbourneuni #unimelb #orientation #oweek #lifeatuni #malaysiansinmelbourne #melbournelife #unilife #explorepage #umsu #summerfest"
3574219368013102525,DGaLZQDvf29,https://www.instagram.com/reel/DGaLZQDvf29/,reel,video,,2025-02-23T08:42:52Z,2025-02-23,19:42,Sunday,2025-W08,2025-02,0,0,84,2,5523,86,0.0156,
3574922930448469230,DGcrXbox4zu,https://www.instagram.com/reel/DGcrXbox4zu/,reel,video,,2025-02-24T08:00:43Z,2025-02-24,19:00,Monday,2025-W09,2025-02,0,0,91,3,6590,94,0.0143,
3575642486434944625,DGfO-WXv9Zx,https://www.instagram.com/reel/DGfO-WXv9Zx/,reel,video,,2025-02-25T07:50:21Z,2025-02-25,18:50,Tuesday,2025-W09,2025-02,0,0,65,1,4812,66,0.0137,
3576336150681745570,DGhssfixfii,https://www.instagram.com/reel/DGhssfixfii/,reel,video,,2025-02-26T06:48:32Z,2025-02-26,17:48,Wednesday,2025-W09,2025-02,0,0,74,9,6154,83,0.0135,
3576825571315419755,DGjb-gBygpr,https://www.instagram.com/reel/DGjb-gBygpr/,reel,video,,2025-02-26T23:00:56Z,2025-02-27,10:00,Thursday,2025-W09,2025-02,0,0,98,0,6127,98,0.016,
3578549012413585467,DGpj13oPJg7,https://www.instagram.com/reel/DGpj13oPJg7/,reel,video,,2025-03-01T08:05:06Z,2025-03-01,19:05,Saturday,2025-W09,2025-03,0,0,66,0,6907,66,0.0096,
3579284527862137477,DGsLFBxRkKF,https://www.instagram.com/reel/DGsLFBxRkKF/,reel,video,,2025-03-02T08:26:26Z,2025-03-02,19:26,Sunday,2025-W09,2025-03,0,0,170,5,6873,175,0.0255,
3579935887166713652,DGufLjZPq80,https://www.instagram.com/reel/DGufLjZPq80/,reel,video,,2025-03-03T06:00:35Z,2025-03-03,17:00,Monday,2025-W10,2025-03,0,0,85,2,8183,87,0.0106,
3581416552614214424,DGzv2EjRjsY,https://www.instagram.com/reel/DGzv2EjRjsY/,reel,video,,2025-03-05T07:02:24Z,2025-03-05,18:02,Wednesday,2025-W10,2025-03,0,0,97,0,7072,97,0.0137,
3583629129166949351,DG7m7TCvQvn,https://www.instagram.com/p/DG7m7TCvQvn/,post,carousel,3,2025-03-08T08:18:24Z,2025-03-08,19:18,Saturday,2025-W10,2025-03,256,13,161,0,,161,,"SUMMERFEST PHOTO RECAP 2025 ☀️🌴 , it was amazing seeing all your wonderful faces there MoMUians!! till next time 🤩💫  #summerfest #umsu #explorepage #summer #oweek #orientation #momuians #momu #malaysiansinmelbourne #malaysia #melbourneuni #unilife #unimelb"
3584348107657637552,DG-KZz8Ru6w,https://www.instagram.com/reel/DG-KZz8Ru6w/,reel,video,,2025-03-09T08:06:52Z,2025-03-09,19:06,Sunday,2025-W10,2025-03,0,0,71,12,4071,83,0.0204,
3585069590457015463,DHAucxKPtyn,https://www.instagram.com/p/DHAucxKPtyn/,post,carousel,1,2025-03-10T08:00:20Z,2025-03-10,19:00,Monday,2025-W11,2025-03,737,12,143,0,,143,,"HI MOMUIANS!! we are back with our second event of the semester drumroll pls 🥁🎶🥁🎶 GAMES NIGHT 🃏🎲🧩 get ready for a night of good vibes, music, snacks and games of course!!   DISCLAIMER ⚠️ all games are free EXCEPT POKER (18+)🤩💫   If you‘re interested in participating in poker, you MUST SIGN UP and pay for ur entry thru the link in our bio. 🖇️ SLOTS ARE LIMITED ‼️and there are prizes to be won!!  ✨ walk ins are welcomed too for the other games 🕹️  SEE YOU THERE 🤍  ✨ games available ✨  poker, mahjong, mafia, uno, chess, sabotuer, happy family, splendor, piles, snap and many more!!  #momu #unimelb #momuians #universityofmelbourne #gamesnight#universitylife #games #lifeatuni #universitylife #malaysiansinmelbourne #explorepage #poker"
3586547521754530009,DHF-ff8PIDZ,https://www.instagram.com/p/DHF-ff8PIDZ/,post,carousel,3,2025-03-12T08:56:43Z,2025-03-12,19:56,Wednesday,2025-W11,2025-03,550,12,94,0,,94,,hi MoMUians!! it’s ur time to shine 🤩💫 OFFICER RECRUITMENT SZN HAS RETURNED!! and we want you 🫵🏻🫵🏻 all teams are recruiting so feel free to sign up for whatever you think fits you the BEST 😍 we look forward to seeing your lovely faces in the interviews and hopefully  as part of our family too 😙🤍 grab the chances whilst you can and seize this opportunity ASAP ⚠️  🖇️ sign up link in bio   #momuians #momu #explorepage #malaysiansinmelbourne #malaysiansociety #recruitment #unimelb #universityofmelbourne #melbournelife #melbourne #malaysia #freshmen
3587968559282102965,DHLBmURR6K1,https://www.instagram.com/reel/DHLBmURR6K1/,reel,video,,2025-03-14T08:00:04Z,2025-03-14,19:00,Friday,2025-W11,2025-03,0,0,78,5,5362,83,0.0155,
3588693386351503475,DHNmZ8FRmhz,https://www.instagram.com/reel/DHNmZ8FRmhz/,reel,video,,2025-03-15T08:00:10Z,2025-03-15,19:00,Saturday,2025-W11,2025-03,0,0,85,0,7000,85,0.0121,
3589452870308567197,DHQTF4ov5id,https://www.instagram.com/p/DHQTF4ov5id/,post,carousel,3,2025-03-16T09:09:08Z,2025-03-16,20:09,Sunday,2025-W11,2025-03,340,12,126,1,,127,,snippets from sotong games!! 🦑🐙 do you spot urself there? 😗🫵🏻 we are so happy with the turn up for our first event of the year and truly can’t wait to see ur smiley faces at our next one 🤩💫  #orientation #oweek #unimelb #universityofmelbourne #momu #malaysiansinmelbourne #squidgame #photocollage #photodump #momuians #freshers #explorepage
3590867328239635091,DHVUs9PR4qT,https://www.instagram.com/reel/DHVUs9PR4qT/,reel,video,,2025-03-18T07:59:24Z,2025-03-18,18:59,Tuesday,2025-W12,2025-03,0,0,76,1,10472,77,0.0074,
3592333731777852871,DHaiH79RbXH,https://www.instagram.com/reel/DHaiH79RbXH/,reel,video,,2025-03-20T08:32:53Z,2025-03-20,19:32,Thursday,2025-W12,2025-03,0,0,71,1,7437,72,0.0097,
3594507040099528216,DHiQRvDxe4Y,https://www.instagram.com/reel/DHiQRvDxe4Y/,reel,video,,2025-03-23T08:30:51Z,2025-03-23,19:30,Sunday,2025-W12,2025-03,0,0,92,7,7503,99,0.0132,
3595941827066552507,DHnWgojRWC7,https://www.instagram.com/reel/DHnWgojRWC7/,reel,video,,2025-03-25T08:01:31Z,2025-03-25,19:01,Tuesday,2025-W13,2025-03,0,0,144,2,8088,146,0.0181,
3597390720778518129,DHsf8z-Sj5x,https://www.instagram.com/reel/DHsf8z-Sj5x/,reel,video,,2025-03-27T08:00:13Z,2025-03-27,19:00,Thursday,2025-W13,2025-03,0,0,70,0,5202,70,0.0135,
3599565405662142761,DH0OapGRuEp,https://www.instagram.com/reel/DH0OapGRuEp/,reel,video,,2025-03-30T08:00:55Z,2025-03-30,19:00,Sunday,2025-W13,2025-03,0,0,70,0,8053,70,0.0087,
3600103628507807437,DH2Iy0LzX7N,https://www.instagram.com/p/DH2Iy0LzX7N/,post,image,,2025-03-31T01:50:17Z,2025-03-31,12:50,Monday,2025-W14,2025-03,292,9,82,0,,82,,Selamat Hari Raya Aidilfitri 🎇 and maaf zahir dan batin to all MoMUians who are celebrating!! 🤩💫 Whether you’re with ur family or friends we hope you have a great one 😘🤍  #momuians #malaysiansinmelbourne #momu #unimelb #universityofmelbourne #hariraya #raya #aidilfitri #malaysiansinmelbourne
3600762795660825663,DH4eq9bzlQ_,https://www.instagram.com/reel/DH4eq9bzlQ_/,reel,video,,2025-03-31T23:39:55Z,2025-04-01,10:39,Tuesday,2025-W14,2025-04,0,0,49,0,3870,49,0.0127,
3601750407527046925,DH7_OmqRJ8N,https://www.instagram.com/reel/DH7_OmqRJ8N/,reel,video,,2025-04-02T08:22:08Z,2025-04-02,19:22,Wednesday,2025-W14,2025-04,0,0,110,2,7023,112,0.0159,
